Series Name,Series Code,Country Name,Country Code,Region,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Gambia, The",GMB,African Region,51.06270514,49.91397625,48.78795311,47.72431455,46.69542596,46.57834141,46.48625995,46.41852785,46.37449614,46.35348956,46.35477512,46.37754043,46.42120397,46.48443498,46.5660269,46.66467535,46.77876496,46.90721614,47.04853001,47.20140933,47.36457564,47.5364175
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Georgia,GEO,European Region,90.03890275,89.6780578,89.33506426,89.02039606,88.82007261,88.62561315,88.43710636,88.2545461,88.07781423,87.90689343,87.74190018,87.58268761,87.42938428,87.28168096,87.13986178,87.00375226,86.87499008,86.75321049,86.63891453,86.53207834,86.43305775,86.34158816
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Germany,DEU,European Region,99.21811125,99.2187293,99.21934286,99.21995748,99.2205649,99.22117504,99.22177475,99.22237358,99.22296598,99.22356186,99.22414733,99.22473156,99.22476235,99.22479177,99.22482477,99.22485185,99.22492692,99.22503642,99.22519294,99.22538408,99.22561717,99.22589221
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Ghana,GHA,African Region,6.245732443,6.348528864,7.232515038,8.136392977,9.059945347,10.00244064,10.9638542,11.94375159,12.94180004,13.95732765,14.99044195,16.04046404,17.10693488,18.18926487,19.28710578,20.40010794,21.5279301,22.67010856,23.82630738,24.99607292,26.1791986,27.37524341
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Gibraltar,GIB,#N/A,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Greece,GRC,European Region,97.6134233,97.70860332,97.80939901,97.9087391,98.00669866,98.10320836,98.19830988,98.29207017,98.38447481,98.47552359,98.56524502,98.65369384,98.74088137,98.82679624,98.91146814,98.97597278,98.9796054,98.9831888,98.98674812,98.99026224,98.99374749,98.99718129
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Greenland,GRL,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Grenada,GRD,Region of the Americas,89.73011457,90.02493591,90.31554999,90.60195683,90.88415641,91.16214873,91.43593381,91.70551163,91.97088219,92.2320455,92.48900156,92.15729842,91.82559528,91.49389213,91.49389213,91.49389213,91.49389213,91.49389213,..,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guam,GUM,#N/A,88.97353207,89.03730694,89.1010818,89.16485667,89.22863154,89.29240641,89.35618127,89.41995614,89.48373101,89.54750587,89.61128074,89.67505561,89.73883048,89.80260534,89.86638021,89.93015508,89.99392995,90.05770481,90.12147968,90.18525455,90.24902941,90.31280428
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guatemala,GTM,Region of the Americas,61.3329226,61.7927999,62.24205208,62.67260939,63.08791148,63.49274616,63.88754265,64.27271338,64.64834013,65.01363469,65.36988289,65.71631091,66.05359301,66.38480579,66.70987976,67.02927229,67.34213158,67.64893296,67.94962484,68.24366871,68.5313078,69.07803382
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guinea,GIN,African Region,9.162306472,9.88629181,10.61144209,11.33794534,12.20687433,13.09503514,14.00263357,14.92948777,15.87560672,16.84100012,17.82588818,18.83007475,19.85356929,20.89638058,21.95851723,23.04295369,24.14983885,25.279316,26.43153509,27.60639759,28.80453377,30.02584807
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guinea-Bissau,GNB,African Region,4.161126931,4.645211051,5.138831098,5.641792882,6.549819328,7.665623893,8.796755091,9.943093954,11.10501181,12.28235728,13.47606346,14.68599057,15.91255808,17.15579877,18.41614304,19.69383803,20.98890377,22.3015667,23.63229986,24.98110645,26.34822365,27.73388843
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guyana,GUY,Region of the Americas,78.1306827,78.63058936,79.1312913,79.62289381,80.19835943,80.77585647,81.35544441,81.93704144,82.5206307,83.10626821,83.69387637,84.2834443,84.88809926,85.4934097,86.10007926,86.70796184,87.31699148,87.92711094,88.53806773,89.14988982,89.7624267,90.37556909
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Haiti,HTI,Region of the Americas,16.74954126,17.83749736,18.93770841,20.04966739,21.05166795,22.04753804,23.05187496,24.0645348,25.08643357,26.11670291,27.1564388,28.20566105,29.26474888,30.33332496,31.41232421,32.50172772,33.59935058,34.70445484,35.81744607,36.93852759,37.12173543,37.30085203
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Honduras,HND,Region of the Americas,64.25636959,65.25661845,66.27616714,67.28619403,68.28506842,69.27194748,70.24775458,71.21225923,72.16579132,73.1079946,74.03954372,74.96012313,75.87036157,76.76984513,77.65917772,78.53789534,79.40647793,80.26502174,81.11363332,81.95255318,82.7820271,83.6021801
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Hong Kong SAR, China",HKG,#N/A,96.72825132,96.72825132,96.72825132,96.72825132,96.7150703,96.70188928,96.68870826,96.67552724,96.66234622,96.6491652,96.63598418,96.62280316,96.60962214,96.59644112,96.58326011,96.57007909,96.55689807,96.54371705,96.53053603,96.51735501,96.50417399,96.50417399
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Hungary,HUN,European Region,98.04373068,98.04295804,98.03960516,98.0362846,98.03296766,98.02914395,98.02482415,98.0205422,98.01628813,98.01207436,98.00840313,98.00476042,98.00215396,97.99991063,97.99768027,97.99545569,97.9931816,97.99087746,97.98852031,97.98613537,97.98370596,97.98123614
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Iceland,ISL,European Region,98.79800853,98.79717959,98.79636903,98.794945,98.79332345,98.79172708,98.79014521,98.78859998,98.78707559,98.78557418,98.7847545,98.78458597,98.78441563,98.7839882,98.78354862,98.78311846,98.78266383,98.78216881,98.78165335,98.78110238,98.78054821,98.77995186
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,India,IND,South-East Asia Region,14.08576181,16.72348555,19.5366221,22.36876586,25.22008398,28.08953667,30.9773053,33.88350114,36.80784258,39.74941111,42.70831536,45.68459284,48.6803119,51.69445375,54.72651883,57.77572014,60.84125721,63.83038915,66.74811677,69.66314609,72.57510232,75.48373765
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Indonesia,IDN,South-East Asia Region,40.2172599,42.30640523,44.41497167,46.54166322,48.68620111,50.84598187,53.02108426,55.20996249,57.41229491,59.62602995,61.84569687,64.05154844,66.26970889,68.49901045,70.73941798,72.98959355,75.24889882,77.51605862,79.79092186,82.07270072,84.36120567,86.65563517
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Iran, Islamic Rep.",IRN,Eastern Mediterranean Region,78.21828917,78.97314683,79.71555039,80.4456315,81.16330664,81.86849995,82.56140328,83.23211285,83.88697679,84.53137698,85.16566794,85.78980635,86.40189179,87.00300863,87.59507855,88.17791714,88.75181604,89.31666149,89.69885621,90.02108734,90.26677051,90.316227
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Iraq,IRQ,Eastern Mediterranean Region,70.5047684,71.07586873,71.64556988,72.21387464,72.78078576,74.44506991,76.12195612,77.81173502,79.5141817,81.22912095,82.96584942,84.71906555,86.48264722,88.25648366,90.04056459,91.8347524,93.6396653,95.45491955,96.9997439,97.86485327,98.49326812,98.4959695
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Ireland,IRL,European Region,90.54517711,90.48185225,90.41756043,90.35135834,90.28431084,90.21656136,90.14872536,90.08318207,90.01710776,89.95045785,89.88328367,89.81553618,89.74720904,89.67836621,89.60894988,89.53902174,89.46846412,89.39660335,89.3232584,89.30739082,89.29065065,89.27316773
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Isle of Man,IMN,#N/A,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Israel,ISR,European Region,100,100,99.99999701,100,100,100,99.99999949,99.99999987,100,100,100,99.99565621,99.98845748,99.98139389,99.97445788,99.96766802,99.96102243,99.95453053,99.94819366,99.9420153,99.93601527,99.93018145
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Italy,ITA,European Region,99.88592623,99.88592044,99.88590023,99.8858756,99.88585214,99.88582805,99.88580148,99.8857795,99.88575254,99.88573269,99.88570624,99.8856858,99.88563795,99.88557373,99.88552008,99.8854581,99.88540074,99.88533958,99.88528605,99.88522401,99.88515873,99.88509676
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Jamaica,JAM,Region of the Americas,82.7209247,82.82578219,82.92912581,83.03157554,83.27473231,83.51652431,83.7569572,83.99602414,84.23371166,84.47002434,84.7049498,84.93844746,85.16995248,85.39915621,85.62576492,85.84955057,86.07016487,86.28739166,86.49974018,86.63160414,86.60642583,86.58008765
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Japan,JPN,Western Pacific Region,100,99.99956048,99.99661421,99.99366795,99.99072169,99.98777542,99.98482916,99.9818829,99.97893663,99.97599037,99.97304411,99.97009784,99.96715158,99.96420532,99.96125905,99.95831279,99.95536653,99.95242026,99.949474,99.94652774,99.94358148,99.94063521
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Jordan,JOR,Eastern Mediterranean Region,98.7373908,98.7059482,98.65138189,98.5730567,98.4947554,98.40640973,98.31512249,98.22612817,98.13920454,98.05408553,97.97060132,97.88854105,97.8077286,97.72794651,97.64908999,97.56281752,97.47696327,97.39147269,97.30631935,97.22148863,97.13694641,97.14098702
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Kazakhstan,KAZ,European Region,96.80301723,96.80272968,96.86236859,96.92186223,96.98122361,97.05065709,97.1199558,97.18912513,97.25816481,97.3270808,97.39587127,97.46451823,97.53303826,97.60142673,97.66969698,97.73782538,97.80582125,97.87370401,97.87189344,97.86969488,97.86711602,97.86416761
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Kenya,KEN,African Region,28.05316611,28.36560564,28.73359449,29.10331499,29.47480316,29.84804796,30.22313991,30.60012103,30.97903464,31.35985998,31.74269809,32.12776051,32.51507537,32.90477207,33.29684696,33.6913972,34.08849426,34.488204,34.89064174,35.29579479,35.70381994,36.11475567
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Kiribati,KIR,Western Pacific Region,32.79977118,33.69725562,34.45813212,35.21906192,35.97977599,36.7400261,37.61166314,38.56280067,39.1671986,39.74501968,40.29627386,40.82073056,41.31815652,41.78764573,42.22958076,42.64361357,43.02757693,43.38135465,43.70568109,44.00101048,44.26763231,44.50615694
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Korea, Dem. People's Rep.",PRK,South-East Asia Region,..,..,75.19542528,75.20582143,75.21635087,75.22674687,75.23727808,75.92378084,76.61398347,77.31903528,78.03240826,78.75000118,79.47227866,80.19895131,80.93017795,81.66581088,82.40860768,83.15841094,83.91557443,84.61949068,84.66546601,84.71404126
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Korea, Rep.",KOR,Western Pacific Region,100,100,100,100,100,100,100,100,99.99051463,99.97810517,99.96569572,99.95328626,99.94087681,99.92846735,99.9160579,99.90364844,99.89123899,99.87882953,99.86642008,99.85401062,99.84160117,99.82919171
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Kosovo,XKX,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Kuwait,KWT,Eastern Mediterranean Region,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Kyrgyz Republic,KGZ,European Region,92.29962114,92.29962302,92.56701697,92.83442571,93.10183571,93.46720047,93.83309362,94.19954158,94.56653217,94.93404139,95.30140055,95.6683765,96.03471361,96.40026212,96.76477251,97.12802309,97.43364371,97.54907428,97.66373037,97.77771402,97.89104421,97.87835831
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Lao PDR,LAO,Western Pacific Region,28.31481771,31.32641746,34.32827701,37.31721073,40.29335131,43.16434863,45.84714871,48.51451401,51.16776698,53.80535229,56.42819403,59.03639388,61.63042202,64.20894901,66.77320981,69.32300186,71.8588126,74.379835,76.88627889,78.94809243,79.13543962,79.32395782
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Latvia,LVA,European Region,87.53536305,87.50956927,87.92898689,88.26265496,88.54481585,88.8241775,89.07558709,89.31974847,89.5634889,89.8144012,90.07175719,90.32742789,90.58125698,90.83323737,91.08323809,91.51933565,91.95677496,92.39535934,92.40345754,92.41312527,92.42436632,92.43718112
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Lebanon,LBN,Eastern Mediterranean Region,76.92372952,76.92372952,76.92372952,78.23290783,79.54208615,80.85126446,82.16044277,83.46962108,84.7787994,86.08797771,87.39715602,88.70633434,90.01551265,91.32469096,92.63386927,93.94304759,95.2522259,96.56140421,97.87058253,99.06737938,99.2,99.2
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Lesotho,LSO,African Region,8.050812526,10.41388693,12.76715569,15.06599036,17.34001754,19.58856867,21.81184801,24.00107645,26.16652221,28.30787625,30.4253043,32.518659,34.58343075,36.62644066,38.64773002,40.64730717,42.62515397,44.58129608,46.5155954,48.42792471,50.31807507,50.29886812
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Liberia,LBR,African Region,12.05342627,12.35388969,12.65739059,12.96353235,13.27252934,13.58417523,14.04297773,14.5085074,14.98049869,15.46138788,15.9511988,16.45017999,16.9578914,17.47480848,18.00047564,18.53513254,19.07878268,19.63094444,20.192091,20.76197361,21.34057675,21.92788787
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Libya,LBY,Eastern Mediterranean Region,90.30506861,90.41988321,90.53469781,90.64951241,90.76432701,90.87914161,90.9939562,91.1087708,91.2235854,91.3384,91.4532146,91.5680292,91.6828438,91.79765839,91.91247299,92.02728759,92.10428565,92.10514499,92.10600221,92.10600221,92.10600221,92.10600221
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Liechtenstein,LIE,#N/A,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Lithuania,LTU,European Region,84.63923292,85.06391923,85.48361304,85.90489866,86.32776851,86.77068176,87.23197992,87.69204737,88.15087399,88.64641808,89.12840068,89.62511981,90.14627794,90.66590228,91.18417025,91.70106704,92.21837599,92.73568381,93.25246556,93.76832523,94.28305548,94.79595855
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Luxembourg,LUX,European Region,97.71136121,97.7021657,97.69530981,97.68866436,97.6814351,97.67410713,97.66694601,97.65996142,97.65313125,97.646499,97.6400127,97.63368473,97.62758816,97.62175608,97.61614236,97.61073993,97.60554441,97.60054414,97.59732689,97.59426285,97.59135158,97.58857291
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Macao SAR, China",MAC,#N/A,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Madagascar,MDG,African Region,3.824522747,4.276235274,4.72902494,5.183444876,5.638794974,6.121174296,6.606260401,7.094046054,7.584774248,8.078091859,8.574232641,9.073173573,9.574977226,10.07961081,10.58722962,11.09769849,11.61117086,12.12760312,12.64704536,13.16933715,13.69473897,14.22296692
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Malawi,MWI,African Region,9.351191683,9.353027456,9.354806073,9.356700918,9.358538092,11.64301756,13.91951873,16.18818768,18.44886569,20.70300131,22.95022073,25.19025157,27.42260338,29.64706199,31.86305957,34.07040349,36.2684898,38.45706697,40.63567367,42.80383781,44.96114989,47.10712573
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Malaysia,MYS,Western Pacific Region,93.10424036,93.28163483,93.45575252,93.62669042,93.79448649,93.95906035,94.12057127,94.27903772,94.43452009,94.58699472,94.73658274,94.88071212,95.02210645,95.16126897,95.29830454,95.43319702,95.56602391,95.69193988,95.81884771,95.88023365,95.93880556,95.99469789
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Maldives,MDV,South-East Asia Region,74.85341458,76.26215418,77.65151251,79.01984957,80.3664466,81.68922835,82.94542377,84.0726027,85.33349244,86.58907527,87.83941977,89.08443083,90.32412361,91.55806361,92.78649863,93.97349261,95.06128905,96.13976183,97.20885134,98.26842792,99.15534209,99.70015787
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Mali,MLI,African Region,15.41019082,16.69419144,18.01212708,19.36291153,20.74646984,22.16093209,23.60695597,25.08291171,26.5889044,28.12306443,29.6838044,31.27028444,32.88168545,34.517191,36.17623653,37.85781199,39.56137893,41.28640184,43.03193857,44.79769672,46.58258955,48.38654613
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Malta,MLT,European Region,99.9653615,99.96525607,99.96516283,99.96506328,99.96497292,99.9648827,99.96483205,99.9648044,99.96477317,99.96474917,99.96472325,99.96469467,99.96467078,99.96464267,99.96462286,99.96459235,99.96457039,99.96454559,99.96452214,99.96449882,99.96447392,99.96444537
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Marshall Islands,MHL,Western Pacific Region,..,85.86435675,86.02958297,86.19320361,86.35522969,86.51533458,86.66102475,86.6800967,86.27042006,85.85379206,85.43102776,85.00232777,84.56643397,84.12303111,83.67295494,83.21613951,82.75311807,82.28383601,81.80905467,81.32845188,81.37832816,81.4221057
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Mauritania,MRT,African Region,17.99971738,19.15245741,20.41867526,21.69421742,22.9791704,24.27261924,25.84267755,27.44807305,29.09013307,30.76760464,32.4828471,34.23641228,36.02881561,37.85967919,39.72631909,41.62832028,43.56515241,45.53804715,47.54589405,49.5893945,51.66773518,53.78155649
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Mauritius,MUS,African Region,90.07934069,90.48839477,90.89882376,91.31066471,91.72392832,92.13864037,92.55474737,92.97230404,93.39127684,93.81170441,94.23356643,94.65686812,95.07448456,95.47877202,95.47362964,95.46850579,95.46355084,95.45875842,..,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Mexico,MEX,Region of the Americas,77.74751589,78.5114853,79.26575349,80.01050601,80.74615766,81.47235485,82.18954866,82.89767592,83.59735659,84.28832973,84.97098277,85.64617135,86.31344735,86.97323056,87.62559751,88.27034031,88.90782386,89.5378932,90.16077047,90.77655807,91.38533557,91.98713112
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Micronesia, Fed. Sts.",FSM,Western Pacific Region,25.04842975,29.13627168,33.22411362,37.31195555,41.39979749,45.48763942,49.57548136,53.6633233,57.75116523,61.83900717,65.9268491,70.01469104,74.10253297,78.19037491,82.27821685,86.36605878,90.45390072,90.45390072,90.45390072,90.45390072,90.45390072,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Moldova,MDA,European Region,71.59461817,71.95209364,72.31432203,72.68129873,73.20565258,73.78451382,74.41341279,75.04617024,75.68280332,76.32330815,76.96770056,77.61597809,78.26815106,78.92421787,79.58419198,80.2520182,80.92734158,81.60915734,82.29693135,82.9898264,83.68727236,84.38853488
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Monaco,MCO,European Region,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Mongolia,MNG,Western Pacific Region,44.17968725,44.96457632,45.73072986,46.47796059,47.94192199,49.40515037,50.86809892,52.32919306,53.78757116,55.24053692,56.68923071,57.96222314,59.14789039,60.34566718,61.55521078,62.77700129,64.0106918,65.25596564,66.51670346,67.79233961,69.08225409,69.52330326
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Montenegro,MNE,European Region,..,..,..,..,..,..,90.64151372,91.17758909,91.71583826,92.25610543,92.79849471,93.34305363,93.88978651,94.43875447,94.98996257,95.54342124,96.09907835,96.65699704,97.21424727,97.50229936,97.77176861,97.79110851
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Morocco,MAR,Eastern Mediterranean Region,67.66782239,68.50596286,69.76490499,71.04631733,72.23801238,73.17732288,74.12862635,75.07866095,76.02704274,76.9734334,77.91863326,78.86171064,79.80288903,80.74184042,81.678784,82.61338862,83.5458715,84.47591233,85.40346582,86.32823401,87.25043435,87.38364315
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Mozambique,MOZ,African Region,10.2305488,11.22601111,12.25726463,13.30231431,14.36140357,15.43415741,16.52115596,17.62137218,18.83024077,20.06456175,21.31700696,22.58676723,23.87370142,25.17766075,26.49849353,27.83605091,29.19016979,30.56032825,31.94671944,33.35031121,34.77058047,36.07188062
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Myanmar,MMR,South-East Asia Region,63.45987619,64.01387874,64.56597213,65.11635663,65.6650227,66.21195347,66.75694548,67.30017768,67.841637,68.33692072,68.82982104,69.31997724,69.80753167,70.29231769,70.77458349,71.25586874,71.73593855,72.21441779,72.69104283,73.16531875,73.63687895,74.10549712
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Namibia,NAM,African Region,28.05521784,28.34985824,28.7898121,29.24864204,29.69820949,30.13607864,30.56328189,30.97873369,31.382601,31.77231981,32.15005157,32.51370732,32.87361745,33.21906087,33.5498944,33.86496852,34.15867206,34.43010851,34.6797496,34.96077469,35.2599672,35.55342382
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Nauru,NRU,Western Pacific Region,65.51375222,65.53835765,65.56296308,65.58756851,65.61217395,65.63677938,65.66138481,65.68599025,65.71059568,65.73520111,65.75980655,65.78441198,65.80901741,65.83362285,65.85822828,65.88283371,65.90743914,65.93204458,65.93204458,65.93204458,65.93204458,65.93204458
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Nepal,NPL,South-East Asia Region,13.96430342,16.51268744,19.07652302,21.70987545,24.41227344,27.18323537,30.02227084,32.92902553,35.90281154,38.94309705,42.04934037,45.22110125,48.45818056,51.75956325,55.12480762,58.55299334,62.04347519,65.59537452,69.20789092,72.88012795,76.61121214,80.40022366
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Netherlands,NLD,European Region,98.05647776,98.03165874,98.00082442,97.97132002,97.94313589,97.91632896,97.89216283,97.87047673,97.84974999,97.82847581,97.8081694,97.79028665,97.77327115,97.75889066,97.74681598,97.73522175,97.72413012,97.71352663,97.70364355,97.69440785,97.68579333,97.6777525
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,New Caledonia,NCL,#N/A,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,New Zealand,NZL,Western Pacific Region,99.99999977,99.99999947,99.9999996,99.99999948,99.99999842,100,99.99999773,100,99.99999746,100,99.99999889,100,100,99.99999959,99.99999881,99.99999926,100,100,100,100,100,99.99999623
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Nicaragua,NIC,Region of the Americas,57.07290571,58.05936659,59.04451077,60.02859568,61.01161884,61.99456134,62.98700702,63.97781426,64.96745785,65.95547765,66.94209914,67.92732542,68.91115986,69.89360297,70.87443697,71.85388301,72.83194431,72.87482215,72.92057331,72.96939905,73.02109765,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Niger,NER,African Region,5.519397609,6.026104095,6.51516459,7.004409852,7.493612797,7.997902758,8.498589648,8.995426191,9.48812752,9.97724247,10.4624965,10.94357489,11.42108661,11.89472651,12.36965957,12.84711594,13.32697458,13.81056598,14.29777602,14.79003828,15.28807749,15.88156173
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Nigeria,NGA,African Region,27.9946356,28.03390811,28.68634733,29.35925914,30.05326384,30.76891368,31.50684826,32.2676934,33.05207425,33.86028654,34.69313327,35.54993987,36.43093333,37.33607524,38.26551223,39.21938255,40.19732734,41.19971911,42.22626064,43.27675278,44.35114641,45.44915489
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,North Macedonia,MKD,European Region,88.64994708,88.62522388,88.60049972,88.57577457,88.55093282,89.14414204,89.74483964,90.35260094,90.96696575,91.58756938,92.21385951,92.84544425,93.48175326,94.12237187,94.76680459,95.41440885,96.0648147,96.71744176,97.32968448,97.87917146,98.42776802,98.9748157
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Northern Mariana Islands,MNP,#N/A,75.62824662,75.84183924,76.05543187,76.26902449,76.48261712,76.69620974,76.90980236,77.12339499,77.33698761,77.55058023,77.76417286,77.97776548,78.1913581,78.40495073,78.61854335,78.83213597,79.0457286,79.25932122,79.47291385,79.68650647,79.90009909,80.11369172
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Norway,NOR,European Region,98.07194057,98.0708653,98.06979811,98.06874521,98.06780513,98.06697166,98.06615076,98.06529855,98.06442057,98.06355572,98.06269457,98.06163328,98.06037739,98.05914139,98.05792001,98.0567285,98.05554437,98.05438752,98.05325162,98.05215073,98.05108003,98.05003424
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Oman,OMN,Eastern Mediterranean Region,89.15584241,89.15278486,89.91162553,90.67088908,91.4715622,92.29376199,93.10327975,93.9002109,94.68478226,95.45706972,96.21748894,96.98958864,97.75339493,98.48641802,99.04545796,99.31900985,99.31929769,99.31956546,99.31980981,99.3200376,99.3202493,99.3204402
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Pakistan,PAK,Eastern Mediterranean Region,30.9057923,32.80766837,34.70445497,36.59515911,38.48021693,40.35915769,42.2129055,44.05647274,45.88948541,47.71199679,49.52440583,51.32672381,53.1189631,54.90051097,56.67205633,58.43360674,60.18517155,61.92650683,63.66154836,65.38993557,67.11104079,68.82426834
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Palau,PLW,Western Pacific Region,92.30552056,92.57327002,92.84392311,93.11749167,93.51618296,93.9036187,94.28037508,94.6464556,95.00229215,95.34782418,95.68347324,96.00931545,96.32581759,96.63291906,96.93103216,97.22038241,97.5006471,97.77229701,98.03584807,98.29177443,98.54058614,98.78268636
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Panama,PAN,Region of the Americas,62.36763322,63.09663512,64.17116262,65.25135296,66.33694007,67.42793768,68.52436464,69.62595568,70.73329283,71.84610824,72.96414114,74.09021278,75.22406657,76.36571766,77.51545152,78.67273712,79.83758758,81.01029892,82.19061275,83.37855176,84.57385262,85.77681161
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Papua New Guinea,PNG,Western Pacific Region,18.14209978,18.13216728,18.12403938,18.11591196,18.10733345,18.21430469,18.32150504,18.4289352,18.53659541,18.5836452,18.62994335,18.67508236,18.71987724,18.76937467,18.82327603,18.88128611,18.94311069,19.0084607,19.07740379,19.14928727,19.22383373,19.26172062
